adlink@ava-platform:~$ /bin/python3 /home/adlink/Desktop/rosbag2_py_ana.py
Topic: /diagnostic/planning_evaluator/metrics, Total Size: 0.45 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/virtual_wall, Total Size: 0.00 MB
Topic: /sensing/lidar/top/rectified/pointcloud_ex, Total Size: 516.67 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/debug/footprint, Total Size: 0.04 MB
Topic: /sensing/imu/imu_data, Total Size: 0.36 MB
Topic: /sensing/lidar/right/self_cropped/pointcloud_ex, Total Size: 0.00 MB
Topic: /sensing/lidar/right/crop_box_filter_self/crop_box_polygon, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/blind_spot, Total Size: 0.00 MB
Topic: /sensing/lidar/top/crop_box_filter_self/crop_box_polygon, Total Size: 0.09 MB
Topic: /localization/pose_twist_fusion_filter/twist, Total Size: 0.14 MB
Topic: /sensing/lidar/right/rectified/pointcloud_ex, Total Size: 0.00 MB
Topic: /planning/scenario_planning/status/stop_reason, Total Size: 0.01 MB
Topic: /planning/mission_planning/checkpoint, Total Size: 0.00 MB
Topic: /planning/planning_validator/debug/marker, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_stop_planner/debug/marker, Total Size: 66.15 MB
Topic: /planning/scenario_planning/status/no_start_reason, Total Size: 0.01 MB
Topic: /perception/object_recognition/detection/clustering/downsampled/short_range/pointcloud, Total Size: 4.72 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/debug/marker, Total Size: 0.09 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_stop_planner/virtual_wall, Total Size: 0.23 MB
Topic: /perception/object_recognition/detection/clustering/long_distance_crop_box_range/crop_box_polygon, Total Size: 0.09 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_stop_planner/debug/collision_pointcloud, Total Size: 0.01 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/pullout, Total Size: 0.00 MB
Topic: /sensing/lidar/right/outlier_filtered/pointcloud, Total Size: 0.00 MB
Topic: /perception/object_recognition/detection/clustering/downsampled/concatenated/pointcloud, Total Size: 3.74 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/debug/footprint_recover_offset, Total Size: 0.22 MB
Topic: /perception/traffic_light_recognition/traffic_light_classifier/output/debug/image/theora, Total Size: 7.44 MB
Topic: /planning/mission_planning/debug/goal_footprint, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/surround_obstacle_checker/debug/footprint_offset, Total Size: 0.22 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/virtual_traffic_light, Total Size: 0.00 MB
Topic: /perception/traffic_light_recognition/traffic_light_classifier/output/debug/image/compressed, Total Size: 10.65 MB
Topic: /localization/util/measurement_range/pointcloud, Total Size: 163.87 MB
